step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B_stopped,B_accumulated_waiting_time,B_average_speed,E_stopped,E_accumulated_waiting_time,E_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
155.0,76,3469.0,30.699115044247787,2.8288174107413178,41,2607.0,0.10137658242910733,23,696.0,0.14007351747567454,64,3303.0
160.0,78,3741.0,33.401785714285715,2.077350806426535,45,2811.0,0.07085368210194191,22,726.0,0.13179470299936438,67,3537.0
165.0,81,3888.0,33.51724137931034,2.0837156174715776,45,3023.0,0.05551301002262625,24,671.0,0.10274989029337253,69,3694.0
170.0,76,3908.0,32.84033613445378,2.018162382216659,45,3236.0,0.07969875447816156,22,723.0,0.042790132863318744,67,3959.0
175.0,81,4085.0,32.943548387096776,2.03779805915897,46,3416.0,0.03155816311453817,22,769.0,0.11420254953025556,68,4185.0
180.0,84,4367.0,33.59230769230769,2.643479943003726,51,3641.0,0.04203127417894406,17,800.0,0.1743087984853084,68,4441.0
185.0,88,4753.0,36.84496124031008,2.5053147082374028,51,3865.0,0.09123914374393872,21,878.0,0.1040387427024817,72,4743.0
190.0,90,3954.0,30.18320610687023,1.9318787868303142,48,3504.0,0.05143849814757783,24,923.0,0.07821496826920941,72,4427.0
195.0,76,2480.0,18.507462686567163,2.7191194800333354,35,2628.0,0.08776248953700887,21,947.0,0.16576861341178112,56,3575.0
200.0,65,2154.0,15.608695652173912,3.6140222907208583,31,2242.0,0.1471620460701488,25,1132.0,0.21123151451383673,56,3374.0
205.0,64,2275.0,15.689655172413794,4.63276189545409,35,1796.0,0.18686374673302686,28,1269.0,0.22701105055940463,63,3065.0
210.0,72,2581.0,17.43918918918919,4.5538301975839355,37,1808.0,0.14447345350495247,33,1348.0,0.1731521457022428,70,3156.0
215.0,76,2831.0,19.258503401360546,3.4790682133866726,37,1908.0,0.12672219606764568,35,1519.0,0.13147164114531346,72,3427.0
220.0,84,3010.0,20.201342281879196,2.932047110362455,40,2058.0,0.13401965868987115,39,1623.0,0.08106204229483197,79,3681.0
225.0,89,3091.0,21.027210884353742,2.6094565308658084,42,2192.0,0.07452136986639796,40,1678.0,0.06197835369467521,82,3870.0
230.0,89,3233.0,21.993197278911566,2.47749619579138,35,2268.0,0.06452414361227818,40,1802.0,0.056940912181925034,75,4070.0
235.0,89,3530.0,24.01360544217687,2.777709502003325,34,2359.0,0.09355936681056706,38,1949.0,0.11508884289040253,72,4308.0
240.0,95,3939.0,26.08609271523179,2.7496742842685786,37,2496.0,0.15257983800303548,39,2039.0,0.11568481773115218,76,4535.0
